직종,세부직종,직무태그,근무경력,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적,근무경력_원본,해외취업여부,근무지역1,근무지역2,근무지역3
IT·게임,"응용프로그래머(Unix,Linux,Java)","SI,ERP,CRM,KMS",0,계약직,"서울,경기,",성신여자대학교,통계,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,물류·유통관리,"유통,물류,운송,영업관리,구매,자재",0,계약직,"서울,경기,서울",호원대학교,경영,미응시,有,60.0,0개월,x,서울,경기,서울
경영·기획·회계·사무,사무·총무·법무,alsl1,42,정규직,"중국,서울,부산",한밭대학교,경제,불확실,無,70.0,3년 6개월,x,중국,서울,부산
경영·기획·회계·사무,인사·노무·교육·인재개발,"인사,급여,총무,일반사무,관리",0,계약직,"서울,서울,서울",중앙대학교,사회,미응시,無,60.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,기계·기계설계·기계설비,"연구개발,기계설계,제조기술",0,계약직,"경기,서울,대전",목포대학교,기계,미응시,有,80.0,0개월,x,경기,서울,대전
IT·게임,웹프로그래머,".NET,웹프로그래머,asp,SQL",68,정규직,"서울,서울,서울",선문대학교,건축,미응시,無,80.0,5년 8개월,x,서울,서울,서울
경영·기획·회계·사무,무역·수출입·운송사무,"사무,무역,학원,교육,중국어,",0,계약직,"서울,서울,",성신여자대학교,중국,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹마스터,"웹마스터,웹프로그래머,DBA,ASP,PHP,Linux,Oracle",0,계약직,"부산,부산,부산",동서대학교,식품,미응시,有,70.0,0개월,x,부산,부산,부산
영업·판매·TM,해외영업,일본어,0,계약직,"경북,경북,대전",성신여자대학교,일본,미응시,無,70.0,0개월,x,경북,경북,대전
IT·게임,하드웨어설계·개발·관리,"FPGA,CircuitDesign,VHDL,EmbeddedLinux",0,계약직,"서울,경기,경남",동서대학교,전자,미응시,有,70.0,0개월,x,서울,경기,경남
전문·교육·자격,경영분석·컨설팅·M&A,"조사분석,리서치,마케팅,사회조사분석,경영분석",0,계약직,"서울,전북,경기",전주대학교,정보,미응시,有,80.0,0개월,x,서울,전북,경기
경영·기획·회계·사무,광고·홍보,"언론보도자료,기획기사취재및작성,건축리모델링부동산기획기사탁월,웹기획,다양한홍보업무",0,계약직,"서울,,",중앙대학교,건축,불확실,有,60.0,0개월,x,서울,서울,서울
IT·게임,서버·네트워크·보안,전산실,0,정규직,"경기,서울,충남",선문대학교,정보,미응시,有,60.0,0개월,x,경기,서울,충남
경영·기획·회계·사무,인사·노무·교육·인재개발,"인사,총무부서장,영업관리",0,계약직,"서울,서울,경기",중앙대학교,사학,미응시,無,80.0,0개월,x,서울,서울,경기
전문·교육·자격,외국어·번역·통역,"기획,웹기획,여행사,OP,전자상거래,번역",0,계약직,"서울,,",성신여자대학교,독어,불확실,有,80.0,0개월,x,서울,서울,서울
영업·판매·TM,텔레마케팅(인/아웃바운드TM),고객상담(인바운드),0,계약직,"서울,,",군산대학교,정보,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹디자인,"웹디자인,플래시,포토샵,쇼핑몰,전자상거래",0,계약직,"부산,서울,경남",동서대학교,컴퓨터,미응시,無,70.0,0개월,x,부산,서울,경남
영업·판매·TM,해외영업,일반사무직,56,계약직,"서울,서울,",한성대학교,영어,불확실,無,70.0,4년 8개월,x,서울,서울,서울
문화·예술·신문·방송,신문·방송·잡지기자,"기자,잡지,언론,미디어,홍보",0,계약직,"서울,인천,",협성대학교,신학,미응시,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,"사무,비서,조사,홍보,기획,이화,cs,고객만족,고객,감동",0,계약직,"서울,서울,경기",이화여자대학교,소비자,미응시,無,70.0,0개월,x,서울,서울,경기
경영·기획·회계·사무,사무·총무·법무,법무,74,정규직,"서울,경기,전북",중앙대학교,법,미응시,無,60.0,6년 2개월,x,서울,경기,전북
IT·게임,웹프로그래머,"웹기획,웹프로그래머,linux,php,mysql,mssql",0,계약직,"서울,,",동아대학교,컴퓨터,미응시,無,60.0,0개월,x,서울,서울,서울
재료·화학·섬유·의복,섬유·의복,여성복,0,계약직,"서울,서울,경기",동의대학교,법,미응시,無,70.0,0개월,x,서울,서울,경기
전문·교육·자격,부동산·경매·감정평가,"부동산,개발,컨설팅,경매,법무,채권,여신,금융",0,계약직,"서울,서울,서울",용인대학교,환경,미응시,無,60.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,인사·노무·교육·인재개발,"HRM,인사관리,인력개발,임금,노사",0,계약직,"서울,,",중앙대학교,경영,미응시,無,80.0,0개월,x,서울,서울,서울
IT·게임,"응용프로그래머(Unix,Linux,Java)","C,C++,JAVA,JSP,Unix,Linux",0,계약직,"서울,,",성신여자대학교,전산,미응시,有,80.0,0개월,x,서울,서울,서울
영업·판매·TM,해외영업,"무역,해외영업",0,계약직,"서울,서울,",경기대학교,영어,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹프로그래머,"PHP,ASP,Linux,Mysql,Oracle,웹마스터,웹프로그래머",0,계약직,"서울,서울,서울",목포대학교,컴퓨터,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,생산관리·품질관리·품질보증,"품질,생관,구매",0,계약직,"부산,울산,경남",동아대학교,산업,미응시,無,80.0,0개월,x,부산,울산,경남
경영·기획·회계·사무,사무·총무·법무,"전략기획,마켓팅,분양,영업",197,"정규직, 계약직","서울,인천,인천",연세대학교,행정,불확실,有,70.0,16년 5개월,x,서울,인천,인천
경영·기획·회계·사무,경영·기획·전략,"MD,기획,무역,마케팅",0,계약직,"서울,전북,광주",광주대학교,도시,미응시,有,70.0,0개월,x,서울,전북,광주
영업·판매·TM,기술영업,영업관리.기술영업.마케팅,0,계약직,"서울,경기,제주",중앙대학교,경영,미응시,有,70.0,0개월,x,서울,경기,제주
IT·게임,"응용프로그래머(Unix,Linux,Java)","프로그래머,JAVA,SCJP,C,C++,SQL",0,계약직,"서울,,",성신여자대학교,전산,미응시,有,80.0,0개월,x,서울,서울,서울
IT·게임,"응용프로그래머(Unix,Linux,Java)","응용프로그래머,전자상거래",0,계약직,"서울,경기,",세명대학교,컴퓨터,미응시,有,60.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,전기·전자·제어,"기술영업,연구,통신,전자,안테나",0,계약직,"서울,경기,경북",호남대학교,전파,불확실,有,80.0,0개월,x,서울,경기,경북
IT·게임,웹마스터,"웹마스터,웹프로그래머,웹디자인,ASP,MS-SQL,photoShop,flash",0,계약직,"서울,경기,광주",목포대학교,조경,미응시,無,70.0,0개월,x,서울,경기,광주
IT·게임,서버·네트워크·보안,시스템엔지니어,0,계약직,"서울,서울,서울",협성대학교,기타,미응시,無,90.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,"물류영업,유통영업,영업관리,대리점관리,",0,계약직,"서울,서울,서울",성결대학교,경영,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,"매장관리,거래처관리,대리점관리,매출관리,영업관리",120,정규직,"서울,대전,충북",서원대학교,경제,미응시,無,70.0,10년 0개월,x,서울,대전,충북
재료·화학·섬유·의복,섬유·의복,"편집,기획,MD",0,계약직,"서울,경기,",성신여자대학교,전산,TOEIC,有,80.0,0개월,x,서울,서울,서울
영업·판매·TM,영업관리·영업지원,귀사에입사지원합니다,164,정규직,"서울,경기,전국",상지대학교,화학,미응시,有,60.0,13년 8개월,x,서울,경기,전국
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"인바운드,슈퍼바이저,정보검색,사서",0,계약직,"서울,,",동서대학교,컴퓨터,불확실,有,80.0,0개월,x,서울,서울,서울
IT·게임,데이터베이스 전문직,기타,61,계약직,"서울,경기,",성균관대학교,산업,TOEIC,有,60.0,5년 1개월,x,서울,서울,서울
영업·판매·TM,해외영업,"마케팅,해외영업,화학",0,계약직,"서울,서울,경기",동덕여자대학교,화학,TOEIC,無,60.0,0개월,x,서울,서울,경기
경영·기획·회계·사무,경리·회계,"회계,재무",0,계약직,"서울,대전,충북",중앙대학교,통계,불확실,有,70.0,0개월,x,서울,대전,충북
경영·기획·회계·사무,인사·노무·교육·인재개발,인사노무,0,계약직,"서울,경기,충남",경기대학교,산업,미응시,無,50.0,0개월,x,서울,경기,충남
영업·판매·TM,기술영업,"영업,기술영업",0,계약직,"서울,,",중앙대학교,컴퓨터,미응시,有,60.0,0개월,x,서울,서울,서울
IT·게임,웹프로그래머,"JSP,PHP,ASP,MYSQL,ORACLE,LINUX,UNIX",0,계약직,"서울,,",동아대학교,정치,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,영업관리·영업지원,영업직,0,계약직,"서울,경기,광주",중앙대학교,생명,TOEIC,無,50.0,0개월,x,서울,경기,광주
영업·판매·TM,해외영업,"기계,일본어,기술영업,해외영업,무역,CAD",0,계약직,"서울,인천,일본",군산대학교,기계,JLPT,有,80.0,0개월,x,서울,인천,일본
IT·게임,웹기획·웹마케팅·PM,"기획,전략,ASP,사업계획,제안,제휴,협약,MOU,MSSQL,VB,웹,인터넷",0,계약직,"서울,경기,인도",연세대학교,기계,미응시,無,60.0,0개월,x,서울,경기,인도
영업·판매·TM,해외영업,"해외무역,해외영업,무역사무",0,계약직,"서울,인천,미국",기타,가정,TOEIC,有,80.0,0개월,x,서울,인천,미국
경영·기획·회계·사무,생산관리·품질관리·품질보증,"생산관리,생산기술",123,정규직,"경기,서울,인천",인천대학교,기계,미응시,無,70.0,10년 3개월,x,경기,서울,인천
경영·기획·회계·사무,사무·총무·법무,"사무,관리,총무,홍보,금융",0,계약직,"서울,서울,서울",서울여자대학교,경영,미응시,有,70.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,"해외영업담당경력,미국연수및학부졸업,경영학전공",11,계약직,"서울,서울,서울",기타,기계,불확실,無,70.0,11개월,x,서울,서울,서울
경영·기획·회계·사무,경영·기획·전략,"사무관리,중국어",0,계약직,"서울,경기,",성균관대학교,중국,미응시,無,70.0,0개월,x,서울,서울,서울
전문·교육·자격,부동산·경매·감정평가,부동산에전문적으로배움의길을찾고싶음.,0,계약직,"서울,,",기타,산업,미응시,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,생산관리·품질관리·품질보증,품질관리,0,계약직,"경기,서울,",선문대학교,산업,미응시,有,70.0,0개월,x,경기,경기,경기
IT·게임,웹마스터,"웹마스터,sql2000,photoshop,html코딩,asp",0,계약직,"서울,경기,",세종대학교,전산,미응시,有,70.0,0개월,x,서울,서울,서울
영업·판매·TM,텔레마케팅(인/아웃바운드TM),"관리자,Supervisor,Manager,QA,Trainner,상담,고객지원,텔레마케팅,TM,교육",0,계약직,"서울,경기,",기타,불어,미응시,有,50.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,인사·노무·교육·인재개발,"인재개발,HRD,인사기획",0,계약직,"서울,경기,충남",성균관대학교,사회,TOEIC,有,90.0,0개월,x,서울,경기,충남
IT·게임,웹디자인,"웹디자인,디자인팀장,웹기획,디자인,디자이너",0,계약직,"서울,인천,",군산대학교,디자인,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경영·기획·전략,중국어,0,계약직,"부산,중국,경남",신라대학교,사학,미응시,無,70.0,0개월,x,부산,중국,경남
건설·기계·전기·전자,기계·기계설계·기계설비,인재,0,계약직,"대전,충남,서울",군산대학교,기관공학,미응시,有,80.0,0개월,x,대전,충남,서울
영업·판매·TM,해외영업,"일본어,무역,3국간무역,수출,해외생산",0,계약직,"서울,경기,",세종대학교,일본,JLPT,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,인사·노무·교육·인재개발,"노무,인사",0,계약직,"부산,경남,",동아대학교,경영,미응시,無,80.0,0개월,x,부산,부산,부산
경영·기획·회계·사무,사무·총무·법무,"사무관리,무역,창고관리,영업",0,계약직,"서울,서울,서울",한림대학교,경제,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹기획·웹마케팅·PM,"웹,웹기획,웹PD,웹마스터,정보통신,IT,모바일",0,계약직,"서울,경기,기타",전주대학교,경영,미응시,有,70.0,0개월,x,서울,경기,기타
IT·게임,웹기획·웹마케팅·PM,웹기획과헤드헌팅을경력자,0,계약직,"서울,,",중앙대학교,경제,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,데이터베이스 전문직,기타,119,"정규직, ","서울,서울,서울",성신여자대학교,전산,미응시,無,80.0,9년 11개월,x,서울,서울,서울
영업·판매·TM,해외영업,기타,61,계약직,"부산,경남,",성균관대학교,건축,미응시,無,70.0,5년 1개월,x,부산,부산,부산
경영·기획·회계·사무,사무·총무·법무,"사무직,비서",0,계약직,"서울,,",성신여자대학교,독어,미응시,有,80.0,0개월,x,서울,서울,서울
IT·게임,데이터베이스 전문직,"Oracle,오라클,OCP,DBA,SQL,Tuning,기술지원,Support",0,정규직,"서울,경기,광주",호남대학교,소프트웨어,미응시,有,80.0,0개월,x,서울,경기,광주
IT·게임,웹프로그래머,"전산,웹",0,계약직,"서울,서울,경기",서울여자대학교,생물,미응시,無,70.0,0개월,x,서울,서울,경기
경영·기획·회계·사무,경리·회계,"회계,자금,세무,금융,인사,총무",0,계약직,"서울,경기,",성균관대학교,회계,불확실,有,60.0,0개월,x,서울,서울,서울
기타 직종,기타,"재료,운전,경호",0,계약직,"서울,,",성균관대학교,기타,미응시,無,70.0,0개월,x,서울,서울,서울
전문·교육·자격,호텔·숙박·여행,"사무,서비스",0,계약직,"서울,경기,경기",선문대학교,사회,미응시,無,80.0,0개월,x,서울,경기,경기
영업·판매·TM,영업관리·영업지원,부동산,57,계약직,"서울,인천,경기",기타,유전,미응시,有,50.0,4년 9개월,x,서울,인천,경기
경영·기획·회계·사무,경영·기획·전략,"기획,운영",0,계약직,"서울,서울,서울",목포대학교,교육,미응시,無,80.0,0개월,x,서울,서울,서울
전문·교육·자격,금융·증권·투자,"펀드매니저,자산운용,투자분석,애널리스트,스트래티지스트",0,계약직,"서울,경기,해외",연세대학교,도시,불확실,有,80.0,0개월,x,서울,경기,해외
IT·게임,웹디자인,"웹디자이너,무역,해외영업",0,계약직,"서울,광주,대전",호남대학교,생명,미응시,有,70.0,0개월,x,서울,광주,대전
영업·판매·TM,텔레마케팅(인/아웃바운드TM),전문상담원,0,계약직,"서울,경기,",한성대학교,의류,미응시,無,70.0,0개월,x,서울,서울,서울
재료·화학·섬유·의복,에너지·환경,실험실및일반사무,0,계약직,"강원,강원,강원",세명대학교,환경,미응시,無,60.0,0개월,x,강원,강원,강원
경영·기획·회계·사무,인사·노무·교육·인재개발,"인사,총무,회계,유통,전자상거개,EC",0,계약직,"서울,경기,인천",상지대학교,행정,미응시,無,70.0,0개월,x,서울,경기,인천
경영·기획·회계·사무,경리·회계,"엑셀,워드",0,계약직,"서울,,",서원대학교,경영,미응시,無,60.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,기계·기계설계·기계설비,cad.pro-e,0,계약직,"서울,경기,전국",한성대학교,기계,미응시,無,60.0,0개월,x,서울,경기,전국
재료·화학·섬유·의복,제약·의약,영업관리,0,계약직,"부산,부산,",동의대학교,행정,미응시,無,70.0,0개월,x,부산,부산,부산
영업·판매·TM,영업관리·영업지원,"영업관리,영업",0,계약직,"부산,경남,서울",동아대학교,생물,미응시,無,70.0,0개월,x,부산,경남,서울
경영·기획·회계·사무,사무·총무·법무,"총무,일반사무직,일본어",0,계약직,"서울,경기,일본",중앙대학교,경영,불확실,無,70.0,0개월,x,서울,경기,일본
경영·기획·회계·사무,경리·회계,"기획,경리,회계,세무,자금",0,계약직,"서울,경기,대전",중앙대학교,경영,미응시,無,80.0,0개월,x,서울,경기,대전
IT·게임,"응용프로그래머(Unix,Linux,Java)","Delphi,ProC,Oracle,MS-SQL,전산실",0,계약직,"부산,서울,서울",동의대학교,통계,미응시,有,80.0,0개월,x,부산,서울,서울
경영·기획·회계·사무,생산관리·품질관리·품질보증,"QA,VoIP,상품기획",0,계약직,"서울,경기,",경기대학교,전자,미응시,無,70.0,0개월,x,서울,서울,서울
디자인,그래픽디자인·CG,"온라인오프라인디자인총괄,디렉터,그래픽디자인,패키지디자인",107,정규직,"경기,서울,서울",서울여자대학교,디자인,미응시,無,70.0,8년 11개월,x,경기,서울,서울
경영·기획·회계·사무,비서·인포메이션·수행·안내,비서직,0,계약직,"서울,서울,서울",한림대학교,사회,미응시,無,70.0,0개월,x,서울,서울,서울
기타 직종,운전·운송·택배·배송,임원운전,0,계약직,"서울,경기,서울",호남대학교,예.체능,미응시,有,70.0,0개월,x,서울,경기,서울
경영·기획·회계·사무,광고·홍보,"홍보,방송,인사,교육,SPSS,상담,광고,인력개발",0,계약직,"서울,강원,경기",한림대학교,심리,불확실,有,80.0,0개월,x,서울,강원,경기
경영·기획·회계·사무,비서·인포메이션·수행·안내,"서비스관련업무,일본어",0,계약직,"부산,부산,부산",동서대학교,관광,미응시,無,70.0,0개월,x,부산,부산,부산
영업·판매·TM,해외영업,"영어,해외영업,마케팅,기획",0,정규직,"서울,,",중앙대학교,영어,미응시,有,70.0,0개월,x,서울,서울,서울
IT·게임,웹기획·웹마케팅·PM,"프로젝트매니저,프로그래머,visualC++,VisualBasic,시스템엔지니어,C,C++,Java,WindowsNT,SQLServer,ASP,시스템분석",0,계약직,"서울,전국,기타",동의대학교,전자,TOEFL,有,70.0,0개월,x,서울,전국,기타
통신·모바일,네트워크·LAN,"네트워크,CCNP,VOICE,LAN,WAN,SE,MAN",0,계약직,"서울,경기,",동아대학교,전자,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,텔레마케팅(인/아웃바운드TM),인바운드,0,계약직,"서울,서울,서울",상지대학교,사회,미응시,有,70.0,0개월,x,서울,서울,서울
통신·모바일,네트워크·LAN,네트워크,23,계약직,"서울,인천,전국",세종대학교,전산,미응시,無,50.0,1년 11개월,x,서울,인천,전국
영업·판매·TM,해외영업,"무역,해외영업",0,계약직,"서울,서울,서울",세종대학교,영어,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경영·기획·전략,"중국,철강,기계,금속,기획,경영,제조,품질,생산",0,계약직,"중국,부산,경남",동아대학교,금속,불확실,無,90.0,0개월,x,중국,부산,경남
경영·기획·회계·사무,사무·총무·법무,MsOffice,0,계약직,"서울,서울,서울",경기대학교,독어,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,서버·네트워크·보안,"시스템관리,unix,solaris,oracle",0,계약직,"서울,경기,광주",광주대학교,관광,미응시,無,80.0,0개월,x,서울,경기,광주
IT·게임,게임프로그래머,"VisualC++,C,C++",0,계약직,"부산,서울,",동의대학교,컴퓨터,미응시,無,70.0,0개월,x,부산,부산,부산
경영·기획·회계·사무,구매·자재사무,"구매,구매자재,물류,무역사무,무역영어,무역일반,무역중개인,바이어관리,선적,수입,통관,바이어발굴,바이어상담,LC,해운,해외지사,해외영업,식음료,해외시장개척,해외사업",24,정규직,"서울,서울,",성신여자대학교,식품,TOEIC,有,70.0,2년 0개월,x,서울,서울,서울
영업·판매·TM,텔레마케팅(인/아웃바운드TM),고객상담,0,계약직,"서울,서울,서울",경기대학교,영어,미응시,無,80.0,0개월,x,서울,서울,서울
건설·기계·전기·전자,전기·전자·제어,기타,46,계약직,"서울,경기,충북",기타,정보,불확실,有,70.0,3년 10개월,x,서울,경기,충북
IT·게임,"응용프로그래머(Unix,Linux,Java)","웹기획,VisualC++,JAVA",0,계약직,"서울,경기,기타",성공회대학교,정보,미응시,有,70.0,0개월,x,서울,경기,기타
건설·기계·전기·전자,전기·전자·제어,"HIC,PDPSMPS,PDPIPM,제조기술,생산기술,공정기술",50,계약직,"경기,전북,전남",군산대학교,전자,미응시,有,70.0,4년 2개월,x,경기,전북,전남
경영·기획·회계·사무,경영·기획·전략,중국통,0,계약직,"서울,인천,경남",선문대학교,중국,미응시,無,90.0,0개월,x,서울,인천,경남
경영·기획·회계·사무,마케팅·마케팅기획,"영업,기획",0,계약직,"대전,서울,",경기대학교,무역,불확실,無,60.0,0개월,x,대전,대전,대전
경영·기획·회계·사무,무역·수출입·운송사무,"중국어,무역,hsk,수출입,무역사무",0,계약직,"서울,경기,중국",한림대학교,중국,HSK,有,80.0,0개월,x,서울,경기,중국
기술·과학·산업,연구개발·R&D,"ORCAD,전자회로",0,계약직,"경기,경기,",한국산업기술대학교,전자,미응시,無,80.0,0개월,x,경기,경기,경기
전문·교육·자격,교육·교사·교수·강사,외국어강사,0,계약직,"서울,해외,기타",성균관대학교,토목,불확실,無,70.0,0개월,x,서울,해외,기타
건설·기계·전기·전자,전기·전자·제어,"전기전자,반도체,국내영업,",0,계약직,"서울,경기,전북",전주대학교,전기,미응시,無,70.0,0개월,x,서울,경기,전북
디자인,의류·패션·잡화디자인,"패션,의상",0,계약직,"광주,광주,전남",광주대학교,의류,미응시,無,80.0,0개월,x,광주,광주,전남
영업·판매·TM,해외영업,"무역,수출영업,중국",0,계약직,"중국,해외,전국",성균관대학교,경영,TOEIC,有,80.0,0개월,x,중국,해외,전국
영업·판매·TM,해외영업,무역,0,계약직,"경기,서울,해외",세명대학교,전자,미응시,無,50.0,0개월,x,경기,서울,해외
경영·기획·회계·사무,인사·노무·교육·인재개발,"관리,교육",0,계약직,"서울,경기,",연세대학교,화학,미응시,有,80.0,0개월,x,서울,서울,서울
IT·게임,전산사무·전산관리,"전산,마케팅,프로그래머,무역",0,계약직,"서울,경기,",성신여자대학교,컴퓨터,미응시,有,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,상담·고객지원,고객상담,20,정규직,"서울,서울,서울",기타,가정,미응시,有,80.0,1년 8개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,사무,0,계약직,"서울,경기,충남",성결대학교,신학,미응시,有,70.0,0개월,x,서울,경기,충남
영업·판매·TM,영업관리·영업지원,"국내영업,대리점관리,상품기획및판매전략수립,유통및직판영업,마케팅,원가분석,시장조사,판가결정",120,정규직,"서울,부산,",동서대학교,컴퓨터,미응시,無,60.0,10년 0개월,x,서울,서울,서울
IT·게임,웹기획·웹마케팅·PM,"웹기획,마케팅,몰마스터,웹디자인,유통,온라인벤더",0,계약직,"서울,,",상지대학교,산업,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹기획·웹마케팅·PM,"영어,MS-office,Photoshop,dreamweaver,HTML",0,계약직,"서울,서울,서울",동아대학교,식품,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,해외영업,"해외영업,영업,영어,마케팅기획",22,계약직,"서울,해외,해외",전주대학교,무역,불확실,無,70.0,1년 10개월,x,서울,해외,해외
경영·기획·회계·사무,경리·회계,회계법인에서회계관련아웃소싱경력5년,0,계약직,"서울,서울,서울",성신여자대학교,경영,미응시,無,80.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경영·기획·전략,"기획사,플래너,항공사,여행,관광",0,계약직,"서울,서울,서울",군산대학교,독어,미응시,無,80.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,"경력,영업관리,영업기획,마케팅",0,계약직,"서울,서울,서울",한성대학교,경영,미응시,無,80.0,0개월,x,서울,서울,서울
전문·교육·자격,조리·제빵·제과,"조리사,요리사,일식,중식,주방보조",168,"정규직, 계약직","서울,,",기타,경제,미응시,有,70.0,14년 0개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,사무경력,0,계약직,"서울,,",호원대학교,영어,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,"사무관리,경리,총무",0,계약직,"부산,,",동의대학교,윤리,미응시,有,70.0,0개월,x,부산,부산,부산
영업·판매·TM,영업·영업기획,"일반영업,영업기획",0,계약직,"서울,경기,전북",전주대학교,행정,미응시,無,60.0,0개월,x,서울,경기,전북
영업·판매·TM,영업관리·영업지원,"부동산,건설",62,정규직,"서울,경기,전남",목포대학교,경제,미응시,有,90.0,5년 2개월,x,서울,경기,전남
건설·기계·전기·전자,건설·토목·건축설비,품질관리(시험),0,계약직,"경기,서울,대전",호남대학교,토목,미응시,有,80.0,0개월,x,경기,서울,대전
통신·모바일,모바일기획,"C,CDMA,전산직,정보처리기사",0,계약직,"서울,경기,",기타,정보,TOEIC,有,90.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,경리·회계,"재무,원가,세무회계",0,계약직,"경기,서울,",전주대학교,회계,미응시,無,80.0,0개월,x,경기,경기,경기
IT·게임,전산사무·전산관리,"C,C++,ASP,PHP",0,계약직,"서울,경기,전국",동의대학교,통계,미응시,有,70.0,0개월,x,서울,경기,전국
경영·기획·회계·사무,기타 경영·기획·회계·사무,관리,0,계약직,"서울,서울,경기",기타,화학,미응시,有,70.0,0개월,x,서울,서울,경기
건설·기계·전기·전자,건설·토목·건축설비,"건설,감독,관리",0,계약직,"서울,,",인천대학교,건축,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,영업·영업기획,"영업기획,영업관리",0,계약직,"서울,인천,경기",한림대학교,법,미응시,無,70.0,0개월,x,서울,인천,경기
경영·기획·회계·사무,경영·기획·전략,"IT전략기획,기획,전략,부동산개발",0,계약직,"서울,전북,제주",성균관대학교,물리,미응시,有,60.0,0개월,x,서울,전북,제주
문화·예술·신문·방송,영상·음향·사진·카메라,"프리미어,편집,방송,광고,카메라",0,계약직,"서울,경기,부산",동서대학교,신문,미응시,有,80.0,0개월,x,서울,경기,부산
IT·게임,웹프로그래머,"웹개발자,PM,Java,Oracle,SQLServer,Coldfusion,ASP",0,계약직,"서울,서울,서울",제주대학교,무역,TOEIC,有,70.0,0개월,x,서울,서울,서울
IT·게임,웹디자인,"웹디자인,플래시",0,계약직,"서울,,",성신여자대학교,심리,미응시,無,70.0,0개월,x,서울,서울,서울
영업·판매·TM,영업관리·영업지원,"CAD,B2B,ProductSales,Sales,영업,Telco,리셀러,어카운트메니져,인터넷,인증,보안,SI,마케팅,기획,B2B,",0,계약직,"해외,서울,경기",인천대학교,기계,불확실,無,70.0,0개월,x,해외,서울,경기
경영·기획·회계·사무,사무·총무·법무,"사무관리,경리",0,계약직,"서울,,",성신여자대학교,가정,미응시,無,80.0,0개월,x,서울,서울,서울
IT·게임,웹기획·웹마케팅·PM,PC,0,계약직,"서울,경기,강원",한성대학교,컴퓨터,미응시,有,80.0,0개월,x,서울,경기,강원
전문·교육·자격,법률·법무·특허·상표,법률,0,계약직,"서울,,",상지대학교,법,미응시,無,60.0,0개월,x,서울,서울,서울
디자인,제품·산업디자인,"편집디자인,산업디자인,제품디자인",0,계약직,"서울,부산,울산",신라대학교,디자인,미응시,有,80.0,0개월,x,서울,부산,울산
IT·게임,웹프로그래머,"java,jsp,xml,eXcelon,oralce,mssql,OZ,UML",0,계약직,"경기,서울,부산",동아대학교,산업,미응시,有,70.0,0개월,x,경기,서울,부산
IT·게임,웹디자인,웹디자인,0,계약직,"서울,경기,",협성대학교,경영,미응시,有,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,"중국어,hsk8급,컴퓨터",0,계약직,"서울,중국,서울",한성대학교,국어,HSK,無,80.0,0개월,x,서울,중국,서울
경영·기획·회계·사무,광고·홍보,"광고,금융,물류,총무,관리,광고대행,온라인광고,광고대행,프로모션,카피라이터",48,정규직,"서울,,",전주대학교,광고,TOEIC,有,80.0,4년 0개월,x,서울,서울,서울
경영·기획·회계·사무,인사·노무·교육·인재개발,기타,52,계약직,"서울,인천,경기",중앙대학교,컴퓨터,TOEIC,有,60.0,4년 4개월,x,서울,인천,경기
경영·기획·회계·사무,마케팅·마케팅기획,"영업관리,마케팅기획",0,계약직,"부산,경남,서울",동서대학교,마케팅,미응시,無,70.0,0개월,x,부산,경남,서울
